High confidence patch points
| PP-002 | request middleware | backend/onyx/server/middleware | middleware chain | normalize identity/tenant context | centralized middleware policy gate | request id, user id, tenant id, path | request_context_resolved | middleware unit+integration | bypass via unguarded path | High | middleware order across EE/CE |
| PP-003 | auth verification | backend/onyx/auth | auth dependency functions | token/auth source verification | authentication verifier | auth type, token id, issuer, user id | auth_verified/auth_failed | auth integration tests | forged/mis-scoped token | High | provider-specific branches |
| PP-005 | user identity resolution | backend/onyx/auth + server deps | current_user style deps | canonical principal resolution | identity binding/check | user id, email, groups, source | identity_resolved | dependency tests | identity confusion | High | service-account vs human mapping |
| PP-006 | role/admin authorization | backend/onyx/server/manage | admin routes/deps | enforce admin boundaries | RBAC enforcement | user id, role set, route | authz_granted/denied | admin API integration | privilege escalation | High | route coverage completeness |
| PP-008 | admin APIs | backend/onyx/server/manage | /admin, /manage routes | protect sensitive config operations | endpoint-level policy checks | actor id, role, target resource | admin_action_attempted | admin endpoint tests | unauthorized config mutation | High | all admin routes inventory |
| PP-016 | retrieval/search | backend/onyx/chat + search | retrieval orchestration | ensure ACL-aware retrieval | retrieval policy checks | query id, user, tenant, acl context | retrieval_executed | chat retrieval tests | prompt context poisoning | High | federated connector interactions |
| PP-019 | context assembly | backend/onyx/chat | context build functions | prevent forbidden context inclusion | context assembly policy | user, tenant, source ids, permissions | context_assembled | end-to-end chat tests | hidden data leakage in context | High | branch complexity by features |
| PP-021 | model-provider calls | backend/onyx/llm | provider invoke wrappers | ensure provider-safe outbound calls | outbound model policy | provider, model, tenant, flow tag | llm_call_sent | provider contract tests | unintended provider routing | High | direct vs wrapped call sites |
| PP-024 | tool invocation | backend/onyx/tools | invoke dispatch paths | enforce pre-exec checks | invocation gate | tool id, actor, args hash | tool_invocation_attempt | tool execution tests | dangerous action execution | High | nested/agent-driven dispatch |
| PP-025 | tool argument validation | backend/onyx/tools | arg schema validators | prevent unsafe arg payloads | schema + semantic validation | tool id, args schema version | tool_args_validated/rejected | validator tests | command/data injection | High | inconsistent schema use |
| PP-033 | workers/queues | backend/onyx/background/celery | task enqueue/dequeue funcs | enforce trusted task submission | task dispatch policy | task name, tenant, expires, actor | task_enqueued/task_run | celery integration | malicious task replay/flood | High | all task producers inventory |
| PP-034 | audit/logging/telemetry | backend/onyx/tracing + logging | telemetry wrappers | complete security event trails | audit schema enforcement | trace id, user, tenant, action | security_audit_event | audit consistency tests | missing forensic trail | High | sink coverage and retention |
